"Date","Price","Open","High","Low","Vol.","Change %"
"12-04-2025","83,414.2","83,420.5","83,558.1","82,828.0","85.25K","0.00%"
"11-04-2025","83,413.1","79,606.1","84,275.0","79,004.2","94.62K","4.78%"
"10-04-2025","79,607.5","82,606.8","82,737.5","78,495.8","92.83K","-3.63%"
"09-04-2025","82,607.0","76,312.3","83,566.7","74,657.3","172.18K","8.25%"
"08-04-2025","76,312.5","79,166.7","80,839.8","76,255.0","93.88K","-3.60%"
"07-04-2025","79,162.5","78,406.6","81,095.9","74,524.2","170.57K","0.98%"
"06-04-2025","78,391.3","83,528.0","83,731.7","77,171.1","79.17K","-6.18%"
"05-04-2025","83,552.1","83,876.0","84,249.3","82,384.4","32.71K","-0.38%"
"04-04-2025","83,866.7","83,160.2","84,704.1","81,691.1","91.54K","0.85%"
"03-04-2025","83,159.4","82,522.6","83,908.9","81,313.8","83.15K","0.77%"
"02-04-2025","82,525.0","85,166.0","88,377.3","82,358.9","104.05K","-3.10%"
"01-04-2025","85,164.2","82,548.6","85,506.2","82,435.8","66.72K","3.17%"
"31-03-2025","82,548.8","82,375.4","83,895.6","81,300.1","61.76K","0.22%"
"30-03-2025","82,371.6","82,646.8","83,532.9","81,593.2","35.37K","-0.33%"
"29-03-2025","82,645.7","84,412.1","84,603.4","81,668.2","39.34K","-2.09%"
"28-03-2025","84,410.4","87,209.5","87,507.5","83,596.7","85.25K","-3.23%"
"27-03-2025","87,228.2","86,937.0","87,751.4","85,844.4","56.49K","0.36%"
"26-03-2025","86,912.0","87,349.8","88,276.7","85,866.4","62.04K","-0.56%"
"25-03-2025","87,404.0","87,495.3","88,523.3","86,328.5","75.24K","-0.10%"
"24-03-2025","87,490.0","86,076.1","88,740.2","85,541.6","95.71K","1.64%"
"23-03-2025","86,077.4","83,840.2","86,082.0","83,812.7","31.13K","2.67%"
"22-03-2025","83,840.5","84,076.6","84,526.3","83,688.2","20.84K","-0.28%"
"21-03-2025","84,073.3","84,208.7","84,831.0","83,215.9","42.80K","-0.16%"
"20-03-2025","84,208.1","86,841.3","87,419.0","83,656.1","69.86K","-3.03%"
"19-03-2025","86,841.0","82,719.1","86,990.6","82,557.5","84.61K","4.98%"
"18-03-2025","82,719.1","84,019.1","84,019.1","81,171.3","58.17K","-1.55%"
"17-03-2025","84,019.1","82,580.3","84,729.2","82,525.0","58.04K","1.74%"
"16-03-2025","82,578.4","84,341.3","84,942.5","82,014.2","50.04K","-2.09%"
"15-03-2025","84,341.3","83,978.7","84,679.5","83,636.4","38.40K","0.43%"
"14-03-2025","83,977.1","81,103.5","85,286.6","80,833.2","81.23K","3.55%"
"13-03-2025","81,100.2","83,664.7","84,292.0","79,954.9","79.25K","-3.06%"
"12-03-2025","83,664.3","82,921.1","84,266.5","80,646.6","88.61K","0.90%"